,video_id,title,channel_title,category_id,tags,views,likes,dislikes,comment_total
132,2nFO0sMs9Zs,Sam Smith - Father Figure in the Live Lounge,BBCRadio1VEVO,10,test_tag,218537,5799,113,293
133,2pZ2aHWFHXA,Will & Grace - Next: Dating an Anchorman? (Sneak Peek),Will & Grace,24,test_tag,204325,2446,357,460
134,2qiBTkVRp1U,RECREATING MY HOMECOMING LOOK (A TAG!) // Grace Helbig,Grace Helbig,22,test_tag,1234184,65879,609,2468
135,2rki0cQ5V2U,"Addison Russell knocks over Cardinals fan's nachos, delivers him new ones",FOXSportsMidwest,17,test_tag,702297,6369,116,899
136,2seypV_Jkjw,Billy Eichner: No One Would Talk To Sean Spicer At The Emmys  - CONAN on TBS,Team Coco,23,test_tag,176074,2394,649,848
137,2t4gy3oAx7I,Trump Blames Puerto Rico For Running Up His Budget,The Late Show with Stephen Colbert,24,test_tag,3982551,58758,10568,18339
138,2wxyDrfwlXQ,What's In This 90s Mystery Caboodle?,grav3yardgirl,26,test_tag,1777437,73845,1428,13663
139,2xTuOYNrVmw,What does Colin Kaepernick's collusion case really mean?,USA TODAY Sports,17,test_tag,23495,104,375,613
140,2y7rk7eHHAM,Jennifer Lawrence Got into a Bar Fight in Budapest,Late Night with Seth Meyers,23,test_tag,4205914,34210,12283,8289
141,2ytdOm28qCg,Packers vs. Cowboys | NFL Week 5 Game Highlights,NFL,17,test_tag,1404748,11436,791,5183
142,2zISrf-7V3U,FENTY BEAUTY?! Hot OR Hmmm? | Jackie Aina,Jackie Aina,26,test_tag,4652475,342554,4901,37607
143,30QPEkhcYeQ,Yo Gotti ft. Nicki Minaj: Rake It Up,The Tonight Show Starring Jimmy Fallon,23,test_tag,1664053,37824,6359,5706
144,33Z-ix1VLzI,Google Pixel 2 Event Livestream,Unbox Therapy,28,test_tag,1411262,28810,1704,1637
145,368_ovPsJk8,THE SHAPE OF WATER - Red Band Trailer,FoxSearchlight,1,test_tag,7672698,86404,6048,11104
146,39wPXnFMypY,My Early Morning Flight Routine! | Ingrid Nilsen,Ingrid Nilsen,26,test_tag,167796,6934,126,350
147,3BMgV8jj9IU,Freedom - International Day of the Girl,The Global Goals,29,test_tag,15107315,242406,145491,0
148,3E_fT0aTsjI,1922 | Official Trailer [HD] | Netflix,Netflix,24,test_tag,4769900,57268,2337,5079
149,3GOjf9ZGnIQ,FATHER FIGURES - Official Redband Trailer,Warner Bros. Pictures,24,test_tag,26578,662,50,110
150,3ImE5jhnOt8,Cider-Braised Pork Shoulder - Pork Stewed in a Creamy Apple Cider Sauce,Food Wishes,26,test_tag,727964,26571,322,2194
151,3JYl1XREYLE,TASTING EXTREMELY BIZARRE POCKY FLAVORS!,DavidParody,23,test_tag,1419784,69548,2750,11770
152,3N5WORQxQUo,September Favorites 2017,clothesencounters,26,test_tag,747817,27371,941,4740
153,3QWQ4gN3j4E,Donald Trump’s Cringe-Worthy Attempt To Date Brooke Shields | WWHL,Watch What Happens Live with Andy Cohen,24,test_tag,2718610,9796,13559,6492
154,3QtHD3-N5nI,How well does my boyfriend know RIVERDALE? | Madelaine Petsch,Madelaine Petsch,22,test_tag,2668547,153162,951,6753
155,3QzUSSKfEeA,Gucci Mane - Met Gala feat. Offset [Official Music Video],OfficialGucciMane,10,test_tag,3409763,129296,2353,9254
156,3Sjd4BVHdc8,Tina Fey's Daughter Learned the Wrong Lessons from Mean Girls,Late Night with Seth Meyers,23,test_tag,179848,2461,83,156
157,3TDk34hnSXc,The 64 Day Longest Flight in History,Half as Interesting,27,test_tag,382584,21839,307,2419
158,3VSa-oARk-w,Monument Valley 2 - Available on Android & iOS November 6th 2017,ustwo games,20,test_tag,24075,189,2,23
